sample_id,obs_id,strain_id,count
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_wt,wt,1176
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_wt,wt,1454
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_wt,wt,1382
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_wt,wt,1644
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_wt,wt,1641
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_wt,wt,1702
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_wt,wt,1171
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_wt,wt,1451
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_wt,wt,1497
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_wt,wt,1522
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_wt,wt,1827
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_wt,wt,1739
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_wt,wt,1055
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_wt,wt,1388
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_wt,wt,1465
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_wt,wt,1762
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_wt,wt,1595
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_wt,wt,1803
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_spike,spike,892
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_spike,spike,512
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_spike,spike,239
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_spike,spike,166
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_spike,spike,137
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_spike,spike,76
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_spike,spike,888
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_spike,spike,402
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_spike,spike,278
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_spike,spike,183
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_spike,spike,101
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_spike,spike,110
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_spike,spike,759
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_spike,spike,448
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_spike,spike,218
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_spike,spike,164
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_spike,spike,118
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_spike,spike,76
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_mut_A,mut_A,702
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_mut_A,mut_A,591
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_mut_A,mut_A,370
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_mut_A,mut_A,341
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_mut_A,mut_A,301
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_mut_A,mut_A,283
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_mut_A,mut_A,876
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_mut_A,mut_A,552
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_mut_A,mut_A,392
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_mut_A,mut_A,324
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_mut_A,mut_A,315
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_mut_A,mut_A,321
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_mut_A,mut_A,785
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_mut_A,mut_A,551
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_mut_A,mut_A,420
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_mut_A,mut_A,351
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_mut_A,mut_A,316
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_mut_A,mut_A,282
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_mut_B,mut_B,1014
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_mut_B,mut_B,1289
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_mut_B,mut_B,1326
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_mut_B,mut_B,1292
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_mut_B,mut_B,1317
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_mut_B,mut_B,1274
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_mut_B,mut_B,976
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_mut_B,mut_B,1231
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_mut_B,mut_B,1278
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_mut_B,mut_B,1143
dose_0-rep_1-t_4,dose_0-rep_1-t_4-strain_mut_B,mut_B,1358
dose_0-rep_1-t_5,dose_0-rep_1-t_5-strain_mut_B,mut_B,1306
dose_0-rep_2-t_0,dose_0-rep_2-t_0-strain_mut_B,mut_B,1136
dose_0-rep_2-t_1,dose_0-rep_2-t_1-strain_mut_B,mut_B,1186
dose_0-rep_2-t_2,dose_0-rep_2-t_2-strain_mut_B,mut_B,1246
dose_0-rep_2-t_3,dose_0-rep_2-t_3-strain_mut_B,mut_B,1256
dose_0-rep_2-t_4,dose_0-rep_2-t_4-strain_mut_B,mut_B,1286
dose_0-rep_2-t_5,dose_0-rep_2-t_5-strain_mut_B,mut_B,1311
dose_0-rep_0-t_0,dose_0-rep_0-t_0-strain_mut_C,mut_C,656
dose_0-rep_0-t_1,dose_0-rep_0-t_1-strain_mut_C,mut_C,771
dose_0-rep_0-t_2,dose_0-rep_0-t_2-strain_mut_C,mut_C,793
dose_0-rep_0-t_3,dose_0-rep_0-t_3-strain_mut_C,mut_C,881
dose_0-rep_0-t_4,dose_0-rep_0-t_4-strain_mut_C,mut_C,961
dose_0-rep_0-t_5,dose_0-rep_0-t_5-strain_mut_C,mut_C,965
dose_0-rep_1-t_0,dose_0-rep_1-t_0-strain_mut_C,mut_C,811
dose_0-rep_1-t_1,dose_0-rep_1-t_1-strain_mut_C,mut_C,741
dose_0-rep_1-t_2,dose_0-rep_1-t_2-strain_mut_C,mut_C,794
dose_0-rep_1-t_3,dose_0-rep_1-t_3-strain_mut_C,mut_C,917
