strain_id,dose_params,is_reference,is_spike
wt,"[10000.0, 1.0]",True,False
spike,"[1e-09, 0.0]",False,True
mut_A,"[0.1, 0.0]",False,False
mut_B,"[1.0, 0.0]",False,False
mut_C,"[10.0, 0.0]",False,False
mut_D,"[1.0, 0.5]",False,False
ctrl_000,"[10000.0, 1.0]",False,False
ctrl_001,"[10000.0, 1.0]",False,False
ctrl_002,"[10000.0, 1.0]",False,False
ctrl_003,"[10000.0, 1.0]",False,False
ctrl_004,"[10000.0, 1.0]",False,False
ctrl_005,"[10000.0, 1.0]",False,False
ctrl_006,"[10000.0, 1.0]",False,False
ctrl_007,"[10000.0, 1.0]",False,False
ctrl_008,"[10000.0, 1.0]",False,False
ctrl_009,"[10000.0, 1.0]",False,False
str_000,"[np.float64(1.160934072833945), 0.0]",False,False
str_001,"[np.float64(0.6583176596280784), 0.0]",False,False
str_002,"[np.float64(1.2878968798670738), 0.0]",False,False
str_003,"[np.float64(1.046052043589046), 0.0]",False,False
str_004,"[np.float64(0.1412660218314743), 0.0]",False,False
str_005,"[np.float64(1.463433527455134), 0.0]",False,False
str_006,"[np.float64(1.1417095529855295), 0.0]",False,False
str_007,"[np.float64(1.1790964579154308), 0.0]",False,False
str_008,"[np.float64(0.1921704490133188), 0.0]",False,False
str_009,"[np.float64(0.6755789068433506), 0.0]",False,False
str_010,"[np.float64(0.5561970363488719), 0.0]",False,False
str_011,"[np.float64(1.3901474832729028), 0.0]",False,False
str_012,"[np.float64(0.9657976801209969), 0.0]",False,False
str_013,"[np.float64(1.234142419906245), 0.0]",False,False
str_014,"[np.float64(0.6651212982409966), 0.0]",False,False
str_015,"[np.float64(0.34085808267716533), 0.0]",False,False
str_016,"[np.float64(0.8318771805237521), 0.0]",False,False
str_017,"[np.float64(0.09572588415626299), 0.0]",False,False
str_018,"[np.float64(1.241446757988873), 0.0]",False,False
str_019,"[np.float64(0.9474965986830972), 0.0]",False,False
str_020,"[np.float64(1.1371316101280606), 0.0]",False,False
str_021,"[np.float64(0.5317889521948025), 0.0]",False,False
str_022,"[np.float64(1.4560470365923548), 0.0]",False,False
str_023,"[np.float64(1.3396816819832966), 0.0]",False,False
str_024,"[np.float64(1.1675752456106427), 0.0]",False,False
str_025,"[np.float64(0.29195806177795136), 0.0]",False,False
str_026,"[np.float64(0.7000815055905513), 0.0]",False,False
str_027,"[np.float64(0.06570564868084317), 0.0]",False,False
str_028,"[np.float64(0.23143423810132174), 0.0]",False,False
str_029,"[np.float64(1.024573429863682), 0.0]",False,False
str_030,"[np.float64(1.1171432338617258), 0.0]",False,False
